Why are you not satisfied with the team selection process?,Satisfied with the process,Not satisfied with support,Why are you satisfied with the team selection support provided by the Jobs tool?,What could make team selection better for you and other campers?,"What, if anything, would you like to tell the Hiring Hub and Mission control teams that you haven’t had the chance to share?",Q13: How can the Jobs tool better support your team selection process?
"As a manager camper, the process was different than others.  There were limited options I was asked to consider.","A little bit tight but nice to sit with different teams, everyone are nice.",Because it doesn’t reflect reality or positions properly. I got on a team which wasn’t on the tool. Also there are no notes specific to the sub team or responsibilities the manager is recruiting towards.,1. Not every team has openings posted on Jobs. I got several reachouts in workchat. 2. Does include all teams. Wish it can be a one stop team search including all teams and it's ok if only some of them has openings.,Bootcamp tool is a bit hard to use;  Many of the descriptions of the positions are poor; People don't seem to respond to the notifications made within the tool,"All teams and hiring managers should put direct work into the descriptions on the Jobs tool. Many teams I came across aggregated their jobs tool listings together by large org, so there was no visibility until you actually sit with the team to the kind of work you would actually be doing. This was a huge waste of time.",Accurate and comprehensive information
Availability of information about teams in a consistent format was not available. Too many options available to choose from.,Ability to sit and work with teams made me more confident in my selection,"Because the reachouts feature of the tool was useless. Managers responded to workplace chats, but never to reachouts from the tool.","Although not very frequently updated, I get to see a wide selection of teams.",Many team selection presentations were not useful at all as a PE. Many presenters were working with information about existing teams and openings that were completely outdated.,"As frustrating as finding a team in bootcamp is, it was still a great experience.",allow more specific searches for areas of interest (like security)
Expectations of the team are not clear at the start. Was told teams are not evaluating candidates but only candidates are evaluating team but this does not seem to be true. Teams do not seem to spend too much thought on bootcamp tasks. ,Able to sit in the team and talk to people,Difficult to find POCs for all teams; not all teams had up to date descriptions which made it difficult to figure out if I wanted to speak more with the team,can check the status of reachouts,More initial information about the teams,Be more explicit that bootcamper can actively reach out to teams. Both in the tool and on mentor level. I was not aware such option is not discouraged.,Delete jobs that don't have headcount attached.
"I and several other bootcampers felt frustrated that there was a minimum number of teams to sit with. We already knew which teams we wanted to join, but the requirement forced us to sit with other teams, which was a waste of their and our time. ",Able to sit with and evaluate teams in a more meaningful way.,https://fb.workplace.com/groups/bootcamp/permalink/2118316671550836/,"Central access to data about teams and products. However, would have liked to see more features to help organize the teams evaluation. Saw multiple spreadsheets and evaluation points, those could be build into the tool to ease the process for bootcampers.",The head count information is not up to date in job tool. Managers may reach out without headcount ready. Managers may fill headcount without notifying.,Consider not restricting Jobs searches by geographic location.,"first and foremost, better teams search, even for teams that don't have open roles at the moment"
"I found the reachouts feature of the Job tool entirely useless. Only 1 team reached out to me during bootcamp, and then a second after I selected a team. I sat with teams by reaching out to them individually and asking to sit with them. ","Access to teams, managers' responsiveness ","I searched ""music"" or ""audio"" and none of the music or audio teams that were hiring came up. ",clear,The tooling is insufficient to manage the interaction between the candidate and teams.  The contact tool is okay for initial contact but then stops being useful.  Scheduling when to bootcamp with each team also happens independently of the tool.,don't think people should be forced to do/not do anything but rather have more recommendations available,I didnt reflect the real situation of the jobs
"I joined a team on a Thursday but manager told he will switch team next Tuesday. I feel if some manager is in the process of changing team, they should not hire. ",Allowed me to get introduced to different teams and people in the site. Understand the differences and what's important and less important for me. Allowed me to feel the vibe of the team and connection to the team members. ,"It doesn't provide an accurate view of what teams are hiring.  The team I picked didn't have headcount when I started team selection, and only had headcount right as I made a decision.",Clearly lists jobs. Can save the ones you like. Can reachout to teams,To have some high level understanding of what each org is doing or undergoing at the beginning will be helpful to have a better targeted list of teams to narrow down.,Each team should have a very clear set of expectations on what constitutes a success at the end of the bootcamp week with them. ,I wish there was an easier way to filter by technologies used and other areas
"I suggest not restricting bootcamper's job tools to a specific geographic location. This put me in a difficult situation where the team I was pre-allocated for got re-orged away, but I couldn't search for new teams elsewhere in the company because I was geographically restricted. I had to instead spend an inordinate amount of time ""networking"" to find roles within the company, a very difficult and time consuming process for a new hire. ",Allows you to sit with a many teams around the company and understand a lot of the cool problems we tackle every day.,It's so bad. Two managers that I reached out to didn't realise they couldn't respond via the Jobs tool (b/c apparently the box they thought was for replying is for 'comments'). So I ended up not hearing back from either for like 2 weeks. ,ease of use,"Transparency of pulse scores in Jobs tool, attrition rates/plans, WLB exceptations","Even if I reach out to mentors, many seemed to not want to lead the process. I had to book my own meetings and keep trying to follow up :( Also for teams I did work with, I was given “baby” tasks that changed ~10 lines of code so it felt like I wasn’t really getting to know the team. I found it hard to find open AR/VR teams (I only found three). ",Improve the job listings and filters.
I tried to work with five teams but I didn't had the time to finish or even start the task I got,"As a PE, I didn't have too many teams to choose from, it was easy to select ones to sit with and spend a meaningful time with each team (week per team)",Jobs tool does not contain the updated list of positions available,Ease of use,,"Everything mentioned in ""How would you feel if the following would be present for team selection?"" question above is a must have!","Include reason why manager reached out to me. Will save a lot of time on communications. Better information on location of teams, including desk space."
"It is very long. Personally i didn't see much value in sitting with multiple teams for few days. It is not possible to get any insight and inclination just by working few days. Talking with manager and one or two team members is sufficient know whether you like working in the team. Given the pressure of PSC, i would rather end team selection quickly and spend more time with team to ramp up.",Because I believe I was able to choose the team that was best for me,Level was broken. Many positions that said required IC4/5 were actually accepting IC3.,Easy to use,,"For many teams in the jobs tool list the information is not up to date. So sometimes you click into a team and all the info is empty, no tasks and no head count listed. Yet they have head count. And sometimes I reach out to teams and they said they are not looking. This ends up wasting time and increases noise.","Its a data problem really, managers don't keep it up to date. Also a lot of things around headcount/role are flexible and the tool doesn't indicate that."
It was kind of chaotic and it would have been nice if there was a more formal first introduction to the team meeting preferably with a manager. I don't think it has to be used but managers should be trained on how to run those meetings in order to make it more welcoming for incoming employees.,Because I got on the perfect team fully convinced that I had enough of an opportunity to understand my choices,Managers are hard to reach and reasons for their decisions are not clear. This does not apply to all but for majority of managers I was trying to reach out.,Easy to use.,,"guidelines for what should be done *during* the team selection week, should be clearer. There were differences between teams.","managers should keep the job tool updated, especially for the headcount info."
"It's basically a race, as who says ' I want the spot' first gets it, and there are bootcampers from previous batches and from the same batch looking at the same team as you. I also think teams should be required to let bootcampers that they know are interested on the team know as soon as the spot is filled.",Because I was preallocated. Super easy and low pressure process for me.,NA,everything is there,,"I am a rotational software engineer, so the main difficulty for me was that no teams reached out to me - I had to find everyone by myself :) ","More accurate position info (description, level, availability, team members, etc.)"
"Job descriptions don’t exist in the jobs tool, hard to search for teams, not many oculus choices available","Being able to explore different teams increased the chances of a great match. I think the time I took with each time (one week) was appropriate, in order to be able to properly work on tasks and finish them.",not fully in sync of what was offered. ,Generally good initial overview of the teams available through Jobs tool helped make a decision to move forward and talk to hiring manager,,"I am hired as ML engineer and as such, the volume of reachouts is rather small compared to new grad colleagues, so my problems with the tool are slightly different. Despite small number of reachouts, many teams have potential of getting headcount and are open to conversation for ML engineers, even if they are not shown in the Jobs tool. I found out about some teams only in weeks 5+,  through networking. Finding such teams should be easier in the jobs tool. One more thing is that rejections should include at least a small reason, or a dropdown menu (for managers also). Seeing a rejection email without any detail is just weird, but after reaching out to a manager afterwards, very simple and understandable explanations are usually received.",Most of the team selection process is not thorough the jobs tool so it doesn't help much beyond sending an initial message. I used my own separate notes to keep track of teams. 
"Jobs tool did not tell me about numerous jobs that were available and related to my specific interests, as a result, all of my searches turned up junk results and I am on a team that is not aligned with my interests","Bootcamp is awesome, plus the idea of sitting with the team to learn about their projects","The jobs tool is buggy and also can't reasonably filter out teams I've declined or who declined me. It's hard to stay focused using it because you have to sift through teams that clearly aren't a match (one or both parties has rejected the other, or the office is in the wrong location). Also, teams don't fill out their jobs tool descriptions accurately. ",Generally Jobs tool is useful and easy to use.,,I dislike enforced rules. Instead I would prefer signal / advice that I can choose to heed or ignore.,"Provide a more consistent overview across the teams, in terms of what a team works on, upcoming projects, etc.."
Limited and non-diverse selection of teams to choose from.,"Chance to team select, removal of FOMO that way",The jobs tool was not accurate and there was a mismatch between the real jobs available and the ones in the the tool,Good amount of description and open positions helped me.,,"I ended up joining a portal software team, but in the jobs tools it was listed under a broad org of 80-90 people. This wasn't very useful. It would be nice if a breakdown of teams was available in the jobs tool.",Provide suggestions on suitable teams
"Managers need to understand the rules better. A manager let me sit with his team, and then when I said he wanted to join he told me he was looking at an internal transfer and waiting to hear back from another bootcamper .  Completely wasted my time. ",Ended up working fine; I'm on a good team.,"There is no way to keep track of my notes and communications with the hiring managers. All of the communication with hiring managers and with my mentor should be consolidated into an easy to reference, search and sort tool.","Good filtering.  When combined with the Org Tool, could figure out how a team fit within their larger Group/Pillar.  Could see all job openings (even if not an ideal personal fit).",,I feel like limiting choices and preallocating to pillars may cause a lot of frustration and remove the freedom that made my bootcamp experience awesome.,"Showing the last updated date, having more personal filters. being able to track better."
"Mentor wasn't too helpful with talking through the decision making process. Sitting with a team for 3-4 days isn't enough to really find out about their work culture, and many things only surface a week or two after joining the team.","enough time to work with teams, no pressure",,"Good tool, a bit overwhelming to be honest",,"I found the flexibility very valuable and I was glad I was able to join an ""ML Generalist"" position even though I was hired as a ""Systems Generalist"".",Up to date information about open positions.
"Mostly self-inflicted.  I rushed team selection, seeking to join a team before the too-new-to-evaluate cutoff, which meant I didn't properly evaluate the teams long enough.  Although less a reflection of the bootcamp team, I hope they will make it more clear rushing is not valuable in the future.",Everyone was extremely friendly and supporting throughout the entire process,,Good UI for reachouts,,"I guess the job tool can be a little more of an app, rather than a page. I remember my experience was relatively poor due to dozens of simultaneously open browser tabs without any relation between them. Reach-outs here, team profile there, team tasks in the third one, repeat for 3-5 teams. Totally possible that I used it incorrectly, though.",Would be much more convenient if I can put some notes/tag some people (for personal usage) in the tool. Also more statuses to choose would be helpful.
"Some managers lied about the headcounts. The headcounts were available on job tool, but the managers said no. I sent an email to Keri Salemme on Mar. 29, 2019 at around 5:32PM EDT about the details. Relevant link: https://fb.workplace.com/groups/bootcamp/permalink/2118316671550836/",expectations are clear; campers have lots of flexibility and choice,,had a good reachout tool however a lot of teams hadn't updated their team descriptions so I had to wait till teams reached out to me or ask my friends for recommendations.,,"I have witnessed hiring manger or engineers from certain teams tried to pressure bootcampers to join by telling them their teams are running out of headcounts (but in fact they aren't), and that the bootcamper needs to make a decision soon or by a certain date. That is cheating. I think that is unfair to teams who play by the rules and have multiple headcounts open.",
